group,home_team,away_team,date,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
J,Argentina,Argélia,16/06,71.017,19.026,9.957,7.642,4.438,1.322,0.319,0.047,14.973,8.472,2.536,0.49,0.087,14.642,8.479,2.533,0.518,0.093,9.96,5.754,1.758,0.346,0.063,5.19,2.993,0.873,0.2,0.031
K,Portugal,Uzbequistão,23/06,64.333,22.075,13.592,8.703,5.803,1.954,0.463,0.103,15.102,9.892,3.388,0.797,0.124,13.292,8.804,3.012,0.676,0.119,8.07,5.445,1.851,0.433,0.088,3.799,2.533,0.865,0.233,0.033
L,Inglaterra,Gana,23/06,82.847,12.295,4.858,4.626,2.191,0.557,0.1,0.01,11.563,5.549,1.358,0.221,0.037,15.104,7.014,1.777,0.287,0.041,13.053,6.192,1.538,0.319,0.036,8.968,4.264,1.026,0.175,0.022
A,Tchéquia,México,24/06,18.541,25.704,55.755,10.457,15.573,11.775,6.105,2.498,7.626,11.491,8.679,4.401,1.73,3.01,4.331,3.261,1.817,0.697,0.761,1.153,0.843,0.456,0.2,0.16,0.231,0.203,0.082,0.037
B,Canadá,Bósnia e Herzegovina,12/06,55.657,24.406,19.937,8.513,7.165,3.122,0.985,0.185,13.335,11.297,4.91,1.451,0.34,11.006,9.128,3.88,1.183,0.252,5.989,5.162,2.206,0.644,0.142,2.571,2.166,0.907,0.284,0.066
C,Brasil,Haiti,19/06,87.373,8.809,3.818,2.556,1.424,0.412,0.065,0.011,7.729,4.012,1.159,0.194,0.032,11.966,6.305,1.831,0.383,0.057,12.392,6.631,1.872,0.372,0.054,10.026,5.406,1.462,0.295,0.035
D,Turquia,EUA,25/06,40.765,23.933,35.302,5.216,7.289,5.152,2.561,0.933,7.809,10.876,7.784,3.804,1.464,6.093,8.492,5.993,2.906,1.107,3.27,4.474,3.253,1.592,0.535,1.25,1.789,1.253,0.633,0.225
E,Alemanha,Curaçao,14/06,90.674,6.741,2.585,1.85,0.941,0.251,0.045,0.004,6.153,3.144,0.835,0.153,0.018,10.127,5.382,1.405,0.251,0.025,11.983,6.192,1.684,0.315,0.042,10.813,5.721,1.554,0.312,0.025
F,Países Baixos,Suécia,20/06,70.29,16.051,13.659,2.589,2.744,1.458,0.548,0.164,6.632,6.835,3.784,1.282,0.419,8.316,8.714,4.743,1.804,0.506,7.22,7.641,4.073,1.559,0.451,4.895,5.202,2.867,0.983,0.285
G,Nova Zelândia,Bélgica,26/06,9.79,17.852,72.358,6.478,13.356,13.832,10.184,5.64,3.987,8.242,8.57,6.298,3.468,1.328,2.609,2.654,1.918,1.062,0.277,0.569,0.634,0.429,0.23,0.041,0.105,0.096,0.072,0.047
H,Espanha,Cabo Verde,15/06,91.036,6.589,2.375,2.157,1.035,0.224,0.031,0.001,7.129,3.108,0.73,0.106,0.007,11.974,5.122,1.084,0.178,0.024,13.485,5.742,1.304,0.224,0.033,11.586,5.04,1.221,0.174,0.016
I,França,Iraque,22/06,77.989,15.261,6.75,5.957,3.074,0.885,0.132,0.023,13.409,6.906,1.794,0.351,0.049,15.227,7.838,2.121,0.348,0.041,11.927,6.219,1.652,0.251,0.032,7.219,3.796,0.911,0.187,0.026
J,Jordânia,Argentina,27/06,5.22,11.685,83.095,3.831,9.938,13.496,12.428,8.827,2.074,5.372,7.247,6.833,4.797,0.574,1.559,2.052,1.833,1.312,0.123,0.318,0.373,0.389,0.238,0.014,0.048,0.066,0.04,0.038
