home_team,away_team,home_win,draw,away_win,zero_zero,zero_one,zero_two,zero_three,zero_four,one_zero,one_one,one_two,one_three,one_four,two_zero,two_one,two_two,two_three,two_four,three_zero,three_one,three_two,three_three,three_four,four_zero,four_one,four_two,four_three,four_four
Curaçao,Cabo Verde,19.459,27.074,53.467,11.78,16.341,11.497,5.689,2.133,8.563,11.869,8.354,4.055,1.446,3.081,4.37,3.027,1.502,0.549,0.773,1.115,0.848,0.369,0.137,0.174,0.212,0.154,0.064,0.027
Curaçao,França,1.189,4.145,94.666,1.315,5.021,9.748,12.918,12.729,0.521,1.918,3.648,4.799,4.911,0.104,0.388,0.749,1.03,1.032,0.016,0.036,0.091,0.144,0.129,0.0,0.004,0.013,0.014,0.017
Curaçao,Senegal,5.716,11.741,82.543,3.256,9.06,12.646,11.653,8.477,2.04,5.586,7.635,7.208,5.217,0.593,1.727,2.347,2.249,1.574,0.136,0.379,0.517,0.491,0.324,0.028,0.063,0.094,0.092,0.055
Curaçao,Noruega,3.37,6.593,90.037,0.988,3.649,6.907,8.928,8.862,0.727,2.803,5.154,6.789,6.608,0.275,1.052,1.977,2.56,2.555,0.074,0.255,0.547,0.674,0.684,0.013,0.078,0.112,0.144,0.128
Curaçao,Iraque,26.688,25.794,47.518,8.432,12.289,8.929,4.373,1.589,8.657,12.06,9.028,4.319,1.656,4.419,6.312,4.447,2.237,0.864,1.547,2.075,1.609,0.779,0.288,0.412,0.563,0.427,0.232,0.075
Curaçao,Argentina,0.875,4.062,95.063,1.738,6.157,11.767,14.93,14.192,0.445,1.786,3.306,4.193,3.927,0.085,0.251,0.474,0.619,0.613,0.013,0.024,0.042,0.061,0.055,0.0,0.004,0.004,0.006,0.003
Curaçao,Áustria,6.131,12.131,81.738,3.271,8.778,12.202,11.413,8.131,2.109,5.661,8.015,7.304,5.257,0.736,1.795,2.567,2.358,1.693,0.164,0.382,0.594,0.55,0.389,0.024,0.061,0.115,0.093,0.076
Curaçao,Argélia,9.807,15.979,74.214,4.186,9.81,11.921,9.734,6.052,3.108,7.442,8.941,7.36,4.549,1.183,2.903,3.505,2.822,1.784,0.344,0.753,0.862,0.744,0.451,0.063,0.139,0.167,0.16,0.094
Curaçao,Jordânia,17.644,20.67,61.686,4.981,9.811,9.906,6.785,3.524,4.617,9.623,9.674,6.641,3.482,2.412,4.776,4.804,3.376,1.821,0.814,1.648,1.69,1.09,0.625,0.2,0.424,0.406,0.279,0.151
Curaçao,Portugal,1.732,5.468,92.8,1.742,6.015,10.586,13.079,12.204,0.717,2.494,4.55,5.767,5.239,0.156,0.526,1.029,1.261,1.156,0.023,0.101,0.154,0.184,0.18,0.004,0.009,0.024,0.014,0.019
